P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
hydrogen-rich,216.2,9.51,0.25,2.39,4.77,188.3,,,,54.4,1313,2.45,0.15,2.42,G0V,1.13,1.19,6136,1.801048,0.02,,1.2,5.94,4.96,0.11,,0
hydrogen-rich,578.65,11.16,0.42,4.65,7.2,315.8,,,,241,192.9,0.654,0.06,0.65,G5V,1,1,5793,1.010425,0.09,,-1.2,7.29,6.1,0.09,,0
hydrogen-rich,2028.46,11.68,1.27,14.87,13.18,221.8,,,,2581.9,1076.4,2.16,0.1,2.15,G5 IV,1.15,1.72,5641,2.68764,0.1,6.9,0.08,9.69,15.35,0.05,,0
metals-rich,2.42,1.35,0.98,1.32,1.34,508.9,546.6,546.6,546.6,2.4,40.11,0.2036,0,0.2,G8V,0.85,0.9,5490,0.660183,-0.38,14,-1.98,-0.16,-0.58,0.33,0,0
hydrogen-rich,572.29,11.15,0.41,4.61,7.17,317.2,,,,236.5,912,2,0.24,1.94,K0III,1.35,4.2,4982,9.749972,-0.06,3.8,-1.27,7.27,5.98,0.1,,0
hydrogen-rich,2893.25,11.61,1.85,21.47,15.79,273.5,,,,5349.9,388,1.1,0.34,1.03,F6 V,1.25,1.1,6250,1.656514,-0.12,3,-0.79,10.93,16.37,0.05,,0
hydrogen-rich,3401.96,11.53,2.22,25.57,17.17,280.9,,,,7541.2,696.3,1.7,0,1.7,K0IV,1.36,2.53,5222,4.270497,0.26,4.67,-0.91,11.62,18.08,0.04,,0
metals-rich,12.72,4,0.2,0.8,1.78,425.4,,,,2.5,103.49,0.422,0.37,0.39,G0V,0.94,1.14,5940,1.433771,,,-1.81,2.94,-0.1,0.22,,0
hydrogen-rich,724.9,11.38,0.49,5.6,7.98,207.6,,,,356.6,2730,4.6,0.05,4.59,K0,1.75,5.38,5150,9.336104,,,0.33,7.61,8.97,0.08,,0
hydrogen-rich,232.1,9.66,0.26,2.49,4.9,336.8,,,,59.8,352.3,1,0.15,0.99,G5V,1.09,2.02,5395,3.073415,0,8.1,-1.38,6.04,3.42,0.12,,0
hydrogen-rich,213.02,9.48,0.25,2.37,4.74,188.9,,,,53.3,1145,2.24,0.11,2.23,G5IV,1.14,1.22,5810,1.521647,0.3,6.7,1.09,5.92,4.93,0.11,,0
hydrogen-rich,406.96,10.69,0.33,3.56,6.17,327,,,,135.8,147.73,0.545,0.16,0.54,G5,0.99,1,5485,0.812075,0.26,,-1.31,6.8,4.84,0.11,,0
metals-rich,9.79,3.67,0.2,0.73,1.63,386.4,,,,1.9,118.38,0.462,0,0.46,G,0.95,1.1,5680,1.129974,0,8,-1.62,2.8,-0.12,0.24,,0
metals-rich,40.31,8.15,0.07,0.61,2.22,318.2,,,,3,131.46,0.6035,0.04,0.6,G,1.7,1,5606,0.88614,-0.34,,-1.23,6.74,0.68,0.13,,0
metals-rich,9.1,1.94,1.25,2.42,2.17,460,504.4,504.4,504.4,11.4,39.79,0.2076,0,0.21,G,0.8,0.77,5417,0.458043,-0.32,6,-1.87,-0.14,0.22,0.35,0,0
no-atmosphere,0.39,0.78,0.81,0.64,0.71,517.9,547,547,547,0.3,1.21,0.0116,0,0.01,M,0.13,0.17,3068,0.002297,-0.48,,-1.86,-0.18,-1.13,0.31,0,0
metals-rich,4.68,2.89,0.19,0.56,1.27,413.4,,,,0.9,124.91,0.48,0.01,0.48,G,1.13,1.2,5930,1.597611,-0.17,,-1.73,2.5,-0.52,0.24,,0
metals-rich,6.88,1.8,1.17,2.12,1.95,473,515.9,515.9,515.9,8.1,91.35,0.414,0,0.41,F,1.14,1.29,6077,2.036227,-0.094,,-1.91,-0.14,0.01,0.34,0,0
metals-rich,4.45,2.84,0.19,0.55,1.25,411.3,,,,0.9,83.49,0.381,0,0.38,G,0.95,0.95,5908,0.986504,-0.027,,-1.72,2.49,-0.54,0.25,,0
no-atmosphere,0.34,0.75,0.81,0.61,0.67,502.7,531.1,531.1,531.1,0.3,16.09,0.112,0,0.11,K,0.96,0.67,4661,0.190088,0.553,,-1.93,-0.18,-1.15,0.31,0,0
metals-rich,0.89,1.01,0.87,0.88,0.94,524.6,557.5,557.5,557.5,0.8,11.42,0.087,0,0.09,K,0.67,0.61,4493,0.136049,-0.046,,-1.96,-0.17,-0.94,0.31,0,0
,,12.77,,,,290.3,,,,,644.17,1.52,0,1.52,G,1.13,1.99,5755,3.897421,-0.03,,-0.96,,,,0,0
metals-rich,13.57,2.14,1.38,2.96,2.52,464,510.5,510.5,510.5,18.8,10.05,0.0769,0,0.08,M0.2,0.6,0.56,3896,0.065057,-0.32,1,-1.81,-0.13,0.53,0.35,0,0
hydrogen-rich,2575.31,11.65,1.63,18.99,14.87,220,,,,4199.6,1565,2.88,0.29,2.75,F8,1.27,2.09,5888,4.710355,0.32,6.89,0.1,10.49,17.39,0.05,,0
metals-rich,5.15,1.67,1.11,1.85,1.76,484.1,484.5,525.5,584.1,5.7,33.94,0.172,0.2,0.17,K0V,0.59,0.79,5150,0.389583,,,-1.92,-0.15,-0.2,0.34,0,0
metals-rich,31.16,5.39,0.2,1.07,2.4,409.7,,,,6.2,47.84,0.249,0,0.25,K1V,0.9,0.77,5303,0.414662,0.21,9.1,-1.72,3.62,0.57,0.2,,0
hydrogen-rich,1783.64,11.68,1.12,13.07,12.36,209,,,,1994.5,974,1.98,0.34,1.86,G0V,1.09,1.31,5885,1.830276,0.18,6.4,0.34,9.33,14.48,0.05,,0
hydrogen-rich,387.89,10.61,0.32,3.45,6.05,195.4,,,,126,1070.35,2.1348,0.06,2.13,K0V,1.14,1.46,5360,1.578537,0.18,,0.74,6.73,6.63,0.1,,0
hydrogen-rich,3084.02,11.58,1.98,22.98,16.32,215.8,,,,6119.5,653.22,1.52,0.41,1.39,G2/G3 V,1.1,1.06,5925,1.242381,0.11,2.55,0.11,11.19,19.14,0.04,,0
hydrogen-rich,629.52,11.25,0.44,4.98,7.48,296.2,,,,278.4,550,1.32,0.59,1.07,G0,0.99,1.95,5663,3.508693,-0.49,8,-1.24,7.41,6.14,0.09,,0
hydrogen-rich,284.56,10.06,0.28,2.81,5.32,337.4,,,,79.5,825,1.95,0.18,1.92,KO,1.44,4.3,5164,11.797004,-0.15,3,-1.39,6.31,3.84,0.12,,0
metals-rich,32.11,5.45,0.2,1.08,2.43,407.7,,,,6.4,191.99,0.652,0.15,0.64,G0.5V,1,1.59,5940,2.802639,,,-1.71,3.65,0.59,0.2,,0
hydrogen-rich,206.66,9.41,0.25,2.33,4.69,338.2,,,,51.2,118.45,0.46,0.37,0.43,K1 V,0.9,1,5248,0.680558,0.23,3.6,-1.44,5.88,3.08,0.13,,0
