P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
no-atmosphere,0.11,0.53,0.76,0.4,0.46,786.1,748.6,809.6,893.3,0.1,6.19,0.06,0.18,0.06,K,0.76,0.75,5046,0.328938,-0.55,11.23,-2.23,-0.19,-1.41,0.27,0,0
metals-rich,8.1,1.88,1.22,2.29,2.08,1000,1043.8,1043.8,1043.8,9.9,3.01,0.038,0,0.04,K,0.83,0.79,4974,0.342742,0.23,,-2.29,-0.14,-0.46,0.3,0,0
no-atmosphere,0.32,0.58,1.61,0.94,0.74,1536.6,1567.7,1567.7,1567.7,0.5,0.18,0.0048,0,0,M,0.46,0.45,3584,0.029977,0,,-2.22,-0.88,-1.37,0.27,0,0
hydrogen-rich,5.4,1.69,1.12,1.89,1.79,51,92.7,92.7,92.7,6,3500,2.1,0,2.1,M,0.22,0.19,3840,0.007068,,,37.29,-0.15,3.11,0.03,0,0
hydrogen-rich,572.29,11.15,0.41,4.61,7.17,375.6,,,,236.5,240.94,0.861,0.24,0.83,F8 V,1.27,1.63,6212,3.55405,0.09,3.8,-1.58,7.27,5.35,0.1,,0
metals-rich,8.32,1.99,1.06,2.11,2.05,1780.9,1773.5,1824.2,1880.6,8.8,0.74,0.0156,0.06,0.02,K0IV-V,0.91,0.94,5196,0.581554,0.31,10.2,-2.39,0.03,-0.79,0.28,0,0
metals-rich,8.39,1.9,1.23,2.33,2.1,1018.8,1062.8,1062.8,1062.8,10.3,3.7,0.046,0,0.05,K0V,0.93,0.87,5313,0.541113,0.03,1.5,-2.32,-0.14,-0.46,0.3,0,0
hydrogen-rich,32.01,5.44,0.2,1.08,2.43,119.1,,,,6.4,471,0.97,0.1,0.97,M1/M2V,0.58,0.56,3564,0.045066,,,4.77,3.65,2.56,0.13,,0
metals-rich,7.6,1.85,1.2,2.22,2.03,1054.8,1032.6,1098.2,1182.3,9.1,5.77,0.0634,0.14,0.06,G0V,1.08,1.09,5765,1.188271,0.19,6.3,-2.36,-0.14,-0.53,0.29,0,0
metals-rich,12.88,4.01,0.2,0.8,1.79,685.9,,,,2.6,15.61,0.118,0.27,0.11,G5 V,0.85,0.92,5597,0.745224,-0.34,7.1,-2.2,2.95,-0.42,0.21,,0
metals-rich,12.02,3.92,0.2,0.78,1.75,751.7,,,,2.4,11.85,0.0974,0.4,0.09,G8V,0.88,0.82,5940,0.749805,,,-2.27,2.91,-0.53,0.21,,0
hydrogen-rich,604.09,11.21,0.43,4.81,7.34,211.4,,,,259.4,591.9,1.381,0.97,0.34,G2 V,1,1.21,5578,1.262082,-0.05,7.1,-1.29,7.35,4.85,0.1,,0
metals-rich,11.54,3.87,0.2,0.77,1.73,770.9,,,,2.3,16.55,0.1253,0.13,0.12,G0V,0.96,1.09,5940,1.321827,,,-2.27,2.89,-0.53,0.21,,0
metals-rich,13.13,4.04,0.2,0.8,1.8,701.2,,,,2.6,14.07,0.1059,0.15,0.1,K0IV,0.8,1.02,5150,0.647379,,,-2.18,2.96,-0.42,0.21,,0
metals-rich,10.49,3.75,0.2,0.75,1.67,801.2,,,,2.1,8.67,0.0785,0.1,0.08,K0V,0.86,0.9,5385,0.604336,-0.05,7,-2.26,2.83,-0.59,0.21,,0
hydrogen-rich,426.04,10.76,0.34,3.68,6.29,149.6,,,,145.9,1966,3.13,0.59,2.53,G5,1.06,1.15,5740,1.283489,0.24,2.7,2.39,6.86,7.59,0.09,,0
metals-rich,18.12,4.5,0.2,0.9,2.01,621.4,,,,3.6,49.77,0.25,0.31,0.24,G5V,0.84,1.61,5599,2.266681,-0.24,4.4,-2.15,3.18,-0.2,0.21,,0
metals-rich,8.36,1.9,1.22,2.32,2.1,851.8,839.4,895.8,969.2,10.2,13.19,0.1116,0.15,0.11,G2V,1.07,1.19,5940,1.565398,,,-2.31,-0.14,-0.34,0.3,0,0
hydrogen-rich,381.53,10.58,0.32,3.41,6,396.7,,,,122.8,507,1.51,0.16,1.49,K0 IV,1.58,4.9,5002,13.485179,0.05,2.5,-1.67,6.71,4.08,0.11,,0
metals-rich,9.03,1.93,1.25,2.41,2.16,1001.4,999.8,1045.8,1100.6,11.3,8.13,0.0774,0.1,0.08,G0V,0.94,1.14,5940,1.433771,,,-2.36,-0.14,-0.41,0.29,0,0
hydrogen-rich,899.77,11.53,0.59,6.77,8.83,365.1,,,,528.2,324,0.92,0.46,0.82,F,1.4,1.5,6577,3.77732,0.07,0.15,-1.57,7.94,6.89,0.09,,0
metals-rich,9.28,1.95,1.26,2.45,2.18,817,807.5,861.5,931.9,11.7,12.08,0.1023,0.15,0.1,G6IV,0.98,1,5940,1.112991,,,-2.29,-0.14,-0.26,0.3,0,0
hydrogen-rich,146.25,8.65,0.23,1.95,4.11,439.3,,,,33,94.35,0.4225,0.04,0.42,K0V,1.14,1.46,5360,1.578537,0.18,,-1.81,5.41,2.06,0.14,,0
hydrogen-rich,572.29,11.15,0.41,4.61,7.17,381.6,,,,236.5,521,1.52,0.29,1.45,K2III,1.65,4.8,4897,11.887561,0.28,2.5,-1.63,7.27,5.26,0.1,,0
metals-rich,10.05,3.7,0.2,0.73,1.65,769.4,,,,2,14.28,0.1099,0.23,0.11,G2V,0.87,0.96,5940,1.018466,,,-2.27,2.81,-0.59,0.21,,0
metals-rich,5.25,2,0.66,1.32,1.62,1601.5,1640.8,1640.8,1640.8,3.5,1.59,0.0273,0,0.03,G,1,1.1,5722,1.163769,0.17,3,-2.42,0.5,-0.95,0.27,0,0
metals-rich,6.87,2,0.86,1.72,1.85,1181.7,1223.3,1223.3,1223.3,5.9,3.5,0.0447,0,0.04,G,0.97,1.11,5383,0.924841,0.2,10,-2.36,0.23,-0.69,0.29,0,0
metals-rich,15.76,2.22,1.45,3.21,2.67,772.6,820,820,820,22.8,9.29,0.085,0,0.09,G,0.94,0.85,5541,0.611055,-0.13,1.9,-2.25,-0.12,0.12,0.31,0,0
metals-rich,8.45,1.9,1.24,2.35,2.11,1092.1,1001,1136.2,1377.2,10.4,3.7,0.0454,0.32,0.04,G8,0.91,0.94,5466,0.713694,0.02,8.8,-2.35,-0.14,-0.52,0.29,0,0
metals-rich,8.48,1.9,1.23,2.34,2.11,1143.4,1187.4,1187.4,1187.4,10.4,7.11,0.075,0,0.07,G,1.11,1.52,5760,2.281744,,,-2.38,-0.14,-0.52,0.29,0,0
metals-rich,12.97,2.12,1.37,2.9,2.48,807.8,854.1,854.1,854.1,17.7,9.75,0.091,0,0.09,G,0.98,0.89,5858,0.836888,,,-2.28,-0.13,-0.05,0.3,0,0
metals-rich,16.46,2.24,1.46,3.28,2.71,798.8,846.4,846.4,846.4,24.1,5.73,0.0589,0,0.06,K,0.83,0.73,5145,0.335025,,,-2.24,-0.12,0.12,0.31,0,0
metals-rich,16.11,2.23,1.45,3.24,2.69,780.7,773.5,828.2,900.7,23.4,13.72,0.094,0.16,0.09,G4V,0.81,0.93,5638,0.784072,-0.29,,-2.26,-0.12,0.12,0.31,0,0
metals-rich,3.1,2.54,0.19,0.48,1.1,622,,,,0.6,5.95,0.056,0,0.06,K,0.65,0.58,4391,0.111429,-0.2,,-2.07,2.41,-0.87,0.23,,0
metals-rich,3.33,2.6,0.19,0.49,1.13,634.2,,,,0.6,27.43,0.181,0,0.18,F,1.02,1.03,6015,1.258094,-0.2,,-2.16,2.42,-0.86,0.23,,0
metals-rich,15.1,2.2,1.43,3.13,2.62,748.4,795.5,795.5,795.5,21.6,21.59,0.155,0,0.15,F,0.99,1.22,6050,1.789085,-0.202,,-2.26,-0.13,0.12,0.31,0,0
metals-rich,3.33,2.6,0.19,0.49,1.13,618.4,,,,0.6,37.99,0.227,0,0.23,F,0.99,1.22,6050,1.789085,-0.202,,-2.15,2.42,-0.85,0.23,,0
metals-rich,10.17,1.99,1.28,2.56,2.26,1169.9,1214.9,1214.9,1214.9,13.1,5.32,0.06,0,0.06,G,1.02,1.18,5983,1.600774,,,-2.39,-0.13,-0.45,0.29,0,0
metals-rich,11.37,2.05,1.32,2.71,2.36,970.1,1015.7,1015.7,1015.7,15,11.58,0.106,0,0.11,F,1.2,1.35,6165,2.362054,,,-2.36,-0.13,-0.27,0.3,0,0
metals-rich,10.17,1.99,1.28,2.56,2.26,866,911,911,911,13.1,16.4,0.133,0,0.13,F,1.2,1.35,6165,2.362054,,,-2.32,-0.13,-0.25,0.3,0,0
metals-rich,10.17,1.99,1.28,2.56,2.26,1608.3,1653.3,1653.3,1653.3,13.1,2.02,0.032,0,0.03,G,0.99,1.27,5790,1.626341,-0.274,,-2.43,-0.13,-0.64,0.28,0,0
metals-rich,23.62,2.43,1.65,4,3.12,691.5,741.2,741.2,741.2,38.9,33.42,0.216,0,0.22,F,1.01,1.47,6012,2.532798,0.078,,-2.22,-0.11,0.56,0.3,0,0
metals-rich,5.92,3.11,0.2,0.61,1.38,546.7,,,,1.2,30.83,0.189,0,0.19,G,0.95,0.94,5560,0.757608,-0.136,,-2.04,2.58,-0.59,0.23,,0
metals-rich,16.46,2.24,1.46,3.28,2.71,782.8,830.4,830.4,830.4,24.1,13.54,0.11,0,0.11,G,0.97,1.04,5774,1.078608,-0.108,,-2.27,-0.12,0.14,0.31,0,0
metals-rich,12.97,2.12,1.37,2.9,2.48,867.2,913.5,913.5,913.5,17.7,4.92,0.054,0,0.05,K,0.77,0.81,5078,0.391409,-0.093,,-2.26,-0.13,-0.1,0.31,0,0
metals-rich,24.64,2.45,1.67,4.09,3.17,643.8,693.7,693.7,693.7,41.1,28.99,0.187,0,0.19,G,1.11,1.15,5888,1.426122,-0.125,,-2.17,-0.11,0.69,0.3,0,0
metals-rich,19.11,2.32,1.53,3.55,2.87,751.4,799.8,799.8,799.8,29.3,8.18,0.072,0,0.07,G,0.74,0.77,5211,0.392243,-0.28,,-2.22,-0.12,0.3,0.31,0,0
metals-rich,17.55,2.27,1.49,3.39,2.78,765.2,813.1,813.1,813.1,26.2,7.65,0.072,0,0.07,G,0.85,0.74,5413,0.421799,-0.286,,-2.24,-0.12,0.21,0.31,0,0
metals-rich,16.81,2.25,1.47,3.32,2.73,737.1,784.9,784.9,784.9,24.8,14.63,0.118,0,0.12,G,0.86,1.08,5526,0.975845,0.012,,-2.23,-0.12,0.22,0.31,0,0
no-atmosphere,1.7,2.9,0.07,0.2,0.77,569.2,,,,0.1,35.85,0.2077,0,0.21,G,0.93,0.98,5942,1.074169,0.091,,-2.08,4.52,-1.11,0.16,,0
metals-rich,10.17,1.99,1.28,2.56,2.26,920,965,965,965,13.1,4.3,0.049,0,0.05,G,0.85,0.75,5333,0.408224,-0.162,,-2.3,-0.13,-0.29,0.3,0,0
metals-rich,11.62,2.06,1.33,2.74,2.37,1005.5,1051.2,1051.2,1051.2,15.4,5.69,0.064,0,0.06,G,1.08,0.96,5888,0.99381,0.026,,-2.35,-0.13,-0.28,0.3,0,0
metals-rich,17.55,2.27,1.49,3.39,2.78,792.6,840.6,840.6,840.6,26.2,11.64,0.103,0,0.1,G,1.08,0.96,5888,0.99381,0.026,,-2.28,-0.12,0.18,0.3,0,0
metals-rich,13.26,2.13,1.38,2.93,2.5,858.2,904.6,904.6,904.6,18.2,8.59,0.08,0,0.08,G,0.93,0.94,5678,0.824,-0.118,,-2.3,-0.13,-0.08,0.3,0,0
metals-rich,7.56,1.85,1.2,2.21,2.02,1223.7,1267.1,1267.1,1267.1,9,8.59,0.089,0,0.09,F,1.28,1.8,6171,4.215578,,,-2.41,-0.14,-0.61,0.29,0,0
metals-rich,4.29,2.81,0.19,0.54,1.24,597.1,,,,0.8,47.9,0.272,0,0.27,G,1.17,1.49,5786,2.232422,0.02,,-2.12,2.48,-0.75,0.23,,0
metals-rich,10.17,1.99,1.28,2.56,2.26,875,920,920,920,13.1,9.85,0.088,0,0.09,G,0.94,1.02,5829,1.077622,-0.211,,-2.31,-0.13,-0.25,0.3,0,0
metals-rich,22.16,2.4,1.61,3.86,3.04,693.7,743,743,743,35.7,19.72,0.14,0,0.14,G,0.94,1.02,5829,1.077622,-0.211,,-2.21,-0.12,0.5,0.31,0,0
metals-rich,15.1,2.2,1.43,3.13,2.62,774.6,821.8,821.8,821.8,21.6,6.25,0.062,0,0.06,K,0.81,0.73,5120,0.328561,-0.109,,-2.22,-0.13,0.09,0.31,0,0
metals-rich,16.11,2.23,1.45,3.24,2.69,723.3,770.8,770.8,770.8,23.4,3.34,0.037,0,0.04,K,0.59,0.55,4255,0.088964,0.087,,-2.13,-0.12,0.2,0.32,0,0
metals-rich,17.55,2.27,1.49,3.39,2.78,779.5,827.5,827.5,827.5,26.2,7.16,0.069,0,0.07,K,0.8,0.81,5160,0.41731,0.063,,-2.23,-0.12,0.19,0.31,0,0
metals-rich,13.85,2.15,1.39,2.99,2.54,773.3,819.9,819.9,819.9,19.3,12.41,0.105,0,0.1,G,1,0.91,5957,0.935585,-0.191,,-2.27,-0.13,0.03,0.31,0,0
metals-rich,26.81,2.5,1.72,4.3,3.28,672.1,722.5,722.5,722.5,46.1,18.75,0.139,0,0.14,G,1.02,0.91,5957,0.935585,-0.191,,-2.2,-0.11,0.71,0.3,0,0
metals-rich,3.62,2.67,0.19,0.51,1.16,595.6,,,,0.7,16.57,0.12,0,0.12,G,0.84,0.79,5265,0.430266,-0.11,,-2.1,2.44,-0.81,0.23,,0
metals-rich,10.4,2,1.29,2.59,2.28,988.2,1033.3,1033.3,1033.3,13.4,11.48,0.107,0,0.11,F,1.24,1.46,6067,2.591145,-0.151,,-2.36,-0.13,-0.33,0.3,0,0
metals-rich,16.81,2.25,1.47,3.32,2.73,746.7,794.4,794.4,794.4,24.8,10.94,0.091,0,0.09,G,0.79,0.93,5297,0.610908,-0.161,,-2.22,-0.12,0.2,0.31,0,0
metals-rich,14.31,2.9,0.59,1.7,2.22,567,610.1,610.1,610.1,8.4,31.88,0.1941,0,0.19,G,0.96,0.95,5812,0.923931,0.012,,-2.08,1.03,0.07,0.3,0,0
metals-rich,10.4,2,1.29,2.59,2.28,1009.7,1054.8,1054.8,1054.8,13.4,4.81,0.056,0,0.06,G,0.91,0.89,5744,0.77362,-0.169,,-2.35,-0.13,-0.34,0.3,0,0
metals-rich,19.52,2.33,1.54,3.6,2.89,682.3,730.9,730.9,730.9,30.1,20.34,0.145,0,0.14,G,0.98,1.03,5806,1.081614,-0.077,,-2.2,-0.12,0.41,0.31,0,0
metals-rich,6.82,3.26,0.2,0.64,1.45,523.8,,,,1.3,44.85,0.246,0,0.25,G,0.99,1.03,5806,1.081614,-0.077,,-2.01,2.63,-0.51,0.23,,0
metals-rich,16.11,2.23,1.45,3.24,2.69,816.3,863.8,863.8,863.8,23.4,7.06,0.068,0,0.07,G,0.88,0.83,5299,0.487328,0.077,,-2.26,-0.12,0.09,0.31,0,0
hydrogen-rich,55.96,6.53,0.2,1.31,2.93,410,,,,11.2,74.92,0.336,0,0.34,G,0.9,0.92,5619,0.75701,-0.12,,-1.72,4.22,1.07,0.18,,0
metals-rich,14.46,2.17,1.41,3.06,2.58,745.7,792.6,792.6,792.6,20.4,5.32,0.054,0,0.05,K,0.8,0.69,4731,0.213993,0.523,,-2.18,-0.13,0.1,0.31,0,0
metals-rich,3.97,2.74,0.19,0.53,1.2,612.6,,,,0.8,9.65,0.08,0,0.08,K,0.8,0.69,4731,0.213993,0.523,,-2.08,2.46,-0.79,0.23,,0
metals-rich,20.36,2.35,1.57,3.68,2.94,716.1,764.9,764.9,764.9,31.9,7.24,0.067,0,0.07,K,0.82,0.72,4954,0.280142,0.155,,-2.18,-0.12,0.4,0.31,0,0
metals-rich,12.97,2.12,1.37,2.9,2.48,840,886.3,886.3,886.3,17.7,9.69,0.09,0,0.09,G,1.04,0.94,5895,0.957372,-0.112,,-2.3,-0.13,-0.08,0.3,0,0
metals-rich,12.15,2.08,1.34,2.8,2.41,951.5,997.4,997.4,997.4,16.3,5.52,0.061,0,0.06,G,0.95,0.94,5497,0.72385,0.258,,-2.32,-0.13,-0.22,0.3,0,0
metals-rich,12.42,2.09,1.35,2.83,2.43,972.4,1018.5,1018.5,1018.5,16.8,9.6,0.092,0,0.09,G,0.89,1.3,5867,1.796557,-0.401,,-2.34,-0.13,-0.22,0.3,0,0
metals-rich,11.37,2.05,1.32,2.71,2.36,1090.3,1135.9,1135.9,1135.9,15,9.69,0.093,0,0.09,G,0.96,1.76,5684,2.900891,-0.131,,-2.36,-0.13,-0.35,0.29,0,0
metals-rich,26.25,2.49,1.71,4.25,3.25,671.1,721.3,721.3,721.3,44.8,39.46,0.242,0,0.24,F,1.13,1.47,6175,2.818853,-0.053,,-2.2,-0.11,0.7,0.3,0,0
metals-rich,3.38,2.61,0.19,0.5,1.14,644.3,,,,0.6,21.96,0.153,0,0.15,G,0.9,0.98,5774,0.957743,-0.097,,-2.17,2.42,-0.86,0.23,,0
metals-rich,12.42,2.09,1.35,2.83,2.43,1003.4,1049.4,1049.4,1049.4,16.8,7.19,0.075,0,0.07,F,0.95,1.06,6053,1.353269,-0.12,,-2.36,-0.13,-0.24,0.3,0,0
metals-rich,11.37,2.05,1.32,2.71,2.36,920.3,965.9,965.9,965.9,15,11.93,0.107,0,0.11,G,1.23,1.49,5593,1.949134,0.299,,-2.31,-0.13,-0.23,0.3,0,0
metals-rich,11.12,2.04,1.31,2.68,2.34,867.7,913.2,913.2,913.2,14.6,10.66,0.098,0,0.1,F,0.99,1.05,6012,1.292244,-0.046,,-2.32,-0.13,-0.2,0.3,0,0
metals-rich,3.52,2.64,0.19,0.5,1.15,627,,,,0.7,19.99,0.141,0,0.14,G,0.89,0.84,5826,0.72934,-0.197,,-2.15,2.43,-0.84,0.23,,0
no-atmosphere,0.09,0.5,0.75,0.37,0.43,867.9,785.6,890.5,1073.9,0.1,4.55,0.0488,0.31,0.05,K,0.76,0.75,5046,0.328938,-0.55,11.23,-2.26,-0.19,-1.45,0.27,0,0
hydrogen-rich,10.4,3.74,0.2,0.74,1.67,79.8,,,,2.1,2780,3.2,0,3.2,,0.56,,,0.098345,,,17.42,2.83,1.88,0.05,,0
hydrogen-rich,8584.38,10.48,7.45,78.1,28.61,341.2,,,,63949.3,3186,6.1,0.18,6,K0III,3.04,15.1,4928,120.649768,0.13,,-1.42,17.91,28.07,0.03,,0
metals-rich,14.31,4.16,0.2,0.83,1.86,759.6,,,,2.8,5.6,0.056,0.15,0.06,K3V,0.74,0.74,4746,0.249267,-0.07,4.5,-2.19,3.02,-0.43,0.21,,0
hydrogen-rich,267.07,10.53,0.23,2.41,5.04,376.6,,,,61.1,95.27,0.407,0.11,0.4,G3V,0.99,0.94,5625,0.793662,-0.01,4,-1.58,6.79,3.28,0.11,,0
hydrogen-rich,22.08,4.81,0.2,0.96,2.14,95.8,,,,4.4,600.89,1.0269,0.4,0.94,M3.5,0.4,0.4,3500,0.021975,,3,7.92,3.33,2.39,0.1,,0
metals-rich,11.75,3.89,0.2,0.77,1.74,796.3,,,,2.3,16.36,0.1286,0.09,0.13,G1V,1.06,1.21,5911,1.581221,0.08,4.3,-2.28,2.9,-0.54,0.21,,0
hydrogen-rich,473.73,10.91,0.36,3.98,6.59,158.5,,,,172.9,1544,2.62,0.22,2.56,G,1.01,0.95,5985,1.040604,-0.19,5,2.61,7.01,8.31,0.08,,0
hydrogen-rich,305.22,10.19,0.29,2.94,5.47,413.8,,,,87.9,331.5,0.93,0.16,0.92,K0IV,1.45,3.22,5052,6.059753,0.154,2.5,-1.74,6.41,3.45,0.12,,0
hydrogen-rich,508.7,11,0.38,4.2,6.8,402.5,,,,194.3,416.1,1.3,0.03,1.3,K1III,1.64,4.3,5020,10.535173,0.05,2.2,-1.69,7.11,4.82,0.1,,0
hydrogen-rich,193.94,9.28,0.24,2.25,4.57,428.3,,,,47.1,297.3,1.03,0.33,0.97,G8IV,1.65,3.85,5060,8.717929,-0.07,1.9,-1.8,5.79,2.47,0.13,,0
metals-rich,47.69,6.2,0.2,1.24,2.77,522.2,,,,9.5,110.9,0.5137,0.35,0.48,K0IV,1.47,2.99,4948,4.807851,0.55,4.4,-2,4.04,0.57,0.18,,0
metals-rich,9.13,3.58,0.2,0.71,1.6,522.8,,,,1.8,12.28,0.085,0,0.09,K,0.65,0.59,4500,0.128069,-0.21,,-1.96,2.76,-0.38,0.23,,0
hydrogen-rich,120.82,4.37,1.45,6.33,5.26,483.7,539.8,539.8,539.8,175.1,105.59,0.4644,0,0.46,G,0.95,1.76,5640,2.802527,-0.158,,-1.93,1.14,2.89,0.21,0,0
metals-rich,31.79,2.24,2.83,6.34,3.77,1199.3,1252.5,1252.5,1252.5,89.9,7.81,0.0828,0,0.08,F,1.24,1.58,6225,3.363268,,3.8,-2.41,-0.56,0.37,0.29,0,0
no-atmosphere,4,8.99,0.01,0.05,0.67,393.9,,,,0,85.31,0.384,0.01,0.38,G,1,0.91,5803,0.842525,,,-1.65,16.14,-1.08,0.06,,0
hydrogen-rich,79.49,2.24,7.07,15.84,5.96,1167.7,1228.8,1228.8,1228.8,562.1,7.13,0.0748,0,0.07,G,1.1,1.5,5915,2.471106,,,-2.39,-0.97,1.64,0.25,0,0
metals-rich,4.8,2.91,0.19,0.57,1.28,605.9,,,,0.9,15.73,0.1171,0,0.12,G9V,0.86,0.78,5331,0.438615,0.012,1,-2.11,2.51,-0.72,0.23,,0
metals-rich,15.26,2.2,1.43,3.15,2.63,936.6,983.8,983.8,983.8,21.9,8.73,0.083,0,0.08,F,1.02,1.03,6015,1.258094,-0.2,,-2.34,-0.13,-0.07,0.3,0,0
metals-rich,22.35,2.4,1.61,3.88,3.05,821,870.4,870.4,870.4,36.1,12.88,0.108,0,0.11,F,1.02,1.03,6015,1.258094,-0.2,,-2.3,-0.12,0.33,0.3,0,0
metals-rich,5.69,2.61,0.32,0.84,1.48,694.4,730.9,730.9,730.9,1.8,26.72,0.1843,0,0.18,,1.17,1.53,,1.873887,,,-2.21,1.64,-0.65,0.26,0,0
metals-rich,20.8,2.36,1.58,3.72,2.97,812.7,861.6,861.6,861.6,32.8,8.41,0.076,0,0.08,G,0.83,0.84,5544,0.598055,-0.588,,-2.27,-0.12,0.28,0.3,0,0
metals-rich,18.31,2.3,1.51,3.47,2.82,957.5,1005.7,1005.7,1005.7,27.7,13.07,0.116,0,0.12,F,1.16,1.45,6142,2.68451,-0.064,,-2.35,-0.12,0.03,0.3,0,0
metals-rich,3.57,2.65,0.19,0.51,1.16,702.1,,,,0.7,29.39,0.2,0,0.2,F,1.24,1.36,6106,2.30672,-0.154,,-2.23,2.44,-0.88,0.23,,0
metals-rich,20.8,2.36,1.58,3.72,2.97,900.2,949.1,949.1,949.1,32.8,15.79,0.131,0,0.13,G,1.18,1.64,5770,2.674735,,,-2.32,-0.12,0.18,0.3,0,0
metals-rich,22.64,2.41,1.62,3.9,3.07,843.8,893.2,893.2,893.2,36.7,16.01,0.127,0,0.13,G,1.07,1.36,5848,1.940873,-0.167,,-2.3,-0.12,0.31,0.3,0,0
metals-rich,4.86,2.92,0.19,0.57,1.29,625.9,,,,0.9,18.87,0.129,0,0.13,G,0.8,0.89,5404,0.606082,-0.255,,-2.13,2.51,-0.73,0.23,,0
metals-rich,18.31,2.3,1.51,3.47,2.82,869.9,918.1,918.1,918.1,27.7,4.97,0.054,0,0.05,K,0.85,0.81,5094,0.396365,-0.014,,-2.26,-0.12,0.12,0.31,0,0
metals-rich,3.15,2.55,0.19,0.48,1.11,728.3,,,,0.6,11.46,0.098,0,0.1,G,0.96,0.84,5642,0.641476,-0.151,,-2.23,2.41,-0.93,0.23,,0
metals-rich,5.85,3.1,0.2,0.61,1.37,582.2,,,,1.1,34.04,0.213,0,0.21,F,1.04,1.01,6064,1.237569,-0.023,,-2.11,2.57,-0.63,0.23,,0
metals-rich,3.33,2.6,0.19,0.49,1.13,681.4,,,,0.6,12.76,0.102,0,0.1,G,0.87,0.89,5232,0.532526,0.072,,-2.17,2.42,-0.89,0.23,,0
metals-rich,20.8,2.36,1.58,3.72,2.97,784.8,833.7,833.7,833.7,32.8,10.69,0.092,0,0.09,G,0.91,0.87,5788,0.762153,-0.338,,-2.27,-0.12,0.32,0.3,0,0
metals-rich,4.18,2.79,0.19,0.54,1.22,626.9,,,,0.8,21.22,0.15,0,0.15,G,1,1.01,5479,0.824779,-0.153,,-2.14,2.47,-0.78,0.23,,0
metals-rich,24.64,2.45,1.67,4.09,3.17,709,758.9,758.9,758.9,41.1,25.67,0.175,0,0.17,F,1.17,1.23,6065,1.836637,-0.279,,-2.23,-0.11,0.57,0.3,0,0
metals-rich,9.94,3.68,0.2,0.73,1.64,526.7,,,,2,28.08,0.18,0,0.18,G,0.99,0.87,5433,0.59168,0.15,,-2.01,2.8,-0.35,0.22,,0
metals-rich,17.55,2.27,1.49,3.39,2.78,912.3,960.3,960.3,960.3,26.2,5.35,0.058,0,0.06,G,0.86,0.8,5571,0.553098,-0.145,,-2.31,-0.12,0.05,0.3,0,0
metals-rich,23.62,2.43,1.65,4,3.12,742.5,792.2,792.2,792.2,38.9,8.47,0.077,0,0.08,G,0.85,0.76,5360,0.427736,-0.067,,-2.22,-0.11,0.48,0.31,0,0
metals-rich,19.94,2.34,1.55,3.64,2.92,917.1,965.8,965.8,965.8,31,4.6,0.052,0,0.05,G,0.86,0.83,5206,0.454007,0.143,,-2.29,-0.12,0.13,0.3,0,0
metals-rich,4.08,2.77,0.19,0.53,1.21,658.1,,,,0.8,16.51,0.122,0,0.12,G,0.91,0.89,5526,0.662694,-0.156,,-2.17,2.46,-0.81,0.23,,0
metals-rich,3.52,2.64,0.19,0.5,1.15,684.2,,,,0.7,10.28,0.089,0,0.09,G,0.89,0.79,5208,0.411934,0.052,,-2.17,2.43,-0.88,0.23,,0
metals-rich,6.26,3.17,0.2,0.62,1.41,566.1,,,,1.2,18.12,0.13,0,0.13,G,0.89,0.79,5208,0.411934,0.052,,-2.06,2.6,-0.59,0.23,,0
metals-rich,13.85,2.15,1.39,2.99,2.54,1315.5,1362.2,1362.2,1362.2,19.3,3.39,0.045,0,0.04,G,1.02,1.3,5551,1.439665,0.061,,-2.39,-0.13,-0.38,0.29,0,0
metals-rich,20.36,2.35,1.57,3.68,2.94,900.7,949.5,949.5,949.5,31.9,10.68,0.096,0,0.1,G,1.02,1.3,5551,1.439665,0.061,,-2.31,-0.12,0.17,0.3,0,0
metals-rich,3.1,2.54,0.19,0.48,1.11,712.2,,,,0.6,25.93,0.18,0,0.18,F,1.16,1.27,6081,1.978779,-0.114,,-2.23,2.41,-0.93,0.23,,0
hydrogen-rich,41.33,3.1,1.38,4.29,3.65,588.2,639.5,639.5,639.5,57.2,54.41,0.3073,0,0.31,F,1.23,1.27,6562,2.683133,-0.57,,-2.12,0.37,1.18,0.29,0,0
metals-rich,14.15,2.16,1.4,3.03,2.56,1232.9,1279.6,1279.6,1279.6,19.8,3.55,0.047,0,0.05,F,1.03,1.02,6002,1.211362,0.07,,-2.4,-0.13,-0.32,0.29,0,0
metals-rich,3.62,2.67,0.19,0.51,1.16,683.5,,,,0.7,11.98,0.097,0,0.1,G,0.88,0.83,5299,0.487328,0.077,,-2.18,2.44,-0.87,0.23,,0
metals-rich,3.19,2.56,0.19,0.49,1.12,687.1,,,,0.6,32.27,0.208,0,0.21,G,0.9,1.54,5727,2.28897,-0.112,,-2.2,2.41,-0.91,0.23,,0
